GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pstlearn,com.pst.learncrew.business,DefaultProfilesBusiness,0,49,0,0,0,10,0,6,0,6
pstlearn,com.pst.learncrew.mapper,ProfilesMapper,0,5,0,0,0,1,0,1,0,1
pstlearn,com.pst.learncrew.controllers,ProfilesController,0,111,0,0,0,25,0,6,0,6
pstlearn,com.pst.learncrew.config,TraceFilter,5,47,2,2,2,16,2,2,0,2
pstlearn,com.pst.learncrew.enums,TypeEnum,0,33,0,0,0,6,0,1,0,1
pstlearn,com.pst.learncrew.enums,AgreementTypeEnum,0,33,0,0,0,6,0,1,0,1
pstlearn,com.pst.learncrew.enums,PeriodEnum,0,27,0,0,0,5,0,1,0,1
pstlearn,com.pst.learncrew.enums,RateEnum,0,15,0,0,0,3,0,1,0,1
pstlearn,com.pst.learncrew.dao,DefaultProfilesDao.ProfilesRowMapper,6,0,0,0,2,0,1,0,1,0
pstlearn,com.pst.learncrew.dao,DefaultProfilesDao,0,73,0,0,0,16,0,6,0,6
pstlearn,com.pst.learncrew.controllers.exceptions,ProfilesExceptionHandler,66,154,8,10,8,37,6,6,0,3
